ID,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,state,ownerName
7972, A1,2016,10999,Manual,19865.0,Diesel,0,76.3,Medium,Used,Bart Williams
3391, A3,2017,18400,Manual,27672.0,Petrol,125,49.6,XLarge,Used,Bob Johnson
5599, A3,2016,15945,Semi-Auto,27306.0,Diesel,125,61.4,XLarge,Used,Bob Cyrus
6943, A3,2015,8490,Manual,40000.0,Diesel,20,68.9,XLarge,Used,Hamada Smith
3403, Q2,2018,17297,Manual,31433.0,Diesel,145,64.2,Medium,Used,Anna Williams
5197, Q3,2019,26900,Manual,8800.0,Petrol,145,39.8,Small,Used,Bart Marks
7176, A5,2015,14940,Automatic,46374.0,Diesel,125,58.9,XLarge,Used,Bob Harris
8354, Q5,2019,38490,Automatic,10200.0,Diesel,145,38.2,XLarge,Used,Ali Harris
4858, A3,2019,18700,Manual,11337.0,Diesel,150,55.4,XLarge,Used,Ali Johnson
862, Q3,2019,36497,Automatic,0.0,Diesel,145,47.1,XLarge,New,Max Williams
1405, Q3,2017,20040,Semi-Auto,23166.0,Petrol,145,47.9,XSmall,Used,Andy Cyrus
2386, A4,2015,9995,Manual,69647.0,Diesel,30,64.2,XLarge,Used,Tony ElNakshabandy
5346, A5,2018,27995,Semi-Auto,10312.0,Diesel,150,51.4,XXLarge,Used,Mark Smith
7172, Q3,2011,10599,Manual,35577.0,Petrol,235,38.7,XLarge,Used,Andy Marks
7545, A1,2016,13450,Manual,22652.0,Diesel,0,72.4,Medium,Used,John Marks
6142, Q3,2019,29799,Manual,2550.0,Diesel,145,42.8,XLarge,Used,Hamada ElNakshabandy
5969, A1,2020,18500,Manual,0.0,Petrol,150,49.6,XXSmall,New,Ali Harris
8861, A4,2013,8990,Manual,83000.0,Diesel,30,62.8,XLarge,Used,Ali Williams
7897, A3,2016,15879,Manual,12067.0,Petrol,20,60.1,XSmall,Used,Bob Cyrus
1181, Q2,2018,18351,Manual,10581.0,Petrol,145,52.3,XSmall,Used,Bob Olsen
338, A6,2019,29490,Semi-Auto,,Diesel,145,55.4,XXLarge,New,Anna Williams
9216, A5,2019,30400,Automatic,0.0,Diesel,145,50.4,XLarge,New,Ali Cyrus
5563, A3,2019,21750,Manual,4909.0,Diesel,145,51.4,Medium,Used,John Smith
8538, Q3,2016,15699,Manual,52080.0,Diesel,145,52.3,XLarge,Used,Tony Johnson
7627, Q2,2017,19400,Semi-Auto,33679.0,Diesel,145,57.7,XLarge,Used,Ali Marks
6191, Q2,2019,22000,Semi-Auto,5761.0,Petrol,145,42.8,Small,Used,Mohammed 3adaweya
5545, A3,2016,14695,Manual,17856.0,Petrol,20,60.1,XSmall,Used,Anna Smith
